time,gpu_name,label,mclk,gpcclk,power,unit(V),unit(I),perf,total_fb_power
15:31:54,GA104,FBVDD_GPU_V_GA104_Hynix_1x ,7000,1200,5061.444493,Voltages(V),Current(mA),54.86,24841.648431999998
15:31:54,GA104,FBVDD_MEM_V_GA104_Hynix_1x ,7000,1200,19493.900955,Voltages(V),Current(mA),54.86,24841.648431999998
15:31:54,GA104,FBVDD_GPU_V_GA102 ,7000,1200,2077.195288,Voltages(V),Current(mA),54.86,4907.36491
15:31:54,GA104,FBVDD_MEM_V_GA102 ,7000,1200,1855.579752,Voltages(V),Current(mA),54.86,4907.36491
15:31:54,GA104,FBVDD_GPU_V_GA104_Hynix_1x ,7000,1305,5034.105752,Voltages(V),Current(mA),58.80
15:31:54,GA104,FBVDD_MEM_V_GA104_Hynix_1x ,7000,1305,19807.54268,Voltages(V),Current(mA),58.80
15:31:54,GA104,FBVDD_GPU_V_GA102 ,7000,1305,2536.686089,Voltages(V),Current(mA),58.80
15:31:54,GA104,FBVDD_MEM_V_GA102 ,7000,1305,2370.678821,Voltages(V),Current(mA),58.80
time,gpu_name,label,mclk,gpcclk,power,unit(V),unit(I),perf,total_fb_power
16:49:37,GA104,FBVDD_GPU_V_GA104_Hynix_1x ,7000,1200,4779.955537,Voltages(V),Current(mA),54.73,24238.205317
16:49:37,GA104,FBVDD_MEM_V_GA104_Hynix_1x ,7000,1200,19458.249780000002,Voltages(V),Current(mA),54.73,24238.205317
16:49:37,GA104,FBVDD_GPU_V_GA102 ,7000,1200,2103.92994,Voltages(V),Current(mA),54.73,3990.120124
16:49:37,GA104,FBVDD_MEM_V_GA102 ,7000,1200,1886.190184,Voltages(V),Current(mA),54.73,3990.120124
16:49:37,GA104,FBVDD_GPU_V_GA104_Hynix_1x ,7100,1200,5170.7471479999995,Voltages(V),Current(mA),54.88,24719.383103
16:49:37,GA104,FBVDD_MEM_V_GA104_Hynix_1x ,7100,1200,19548.635955,Voltages(V),Current(mA),54.88,24719.383103
16:49:37,GA104,FBVDD_GPU_V_GA102 ,7100,1200,2507.248023,Voltages(V),Current(mA),54.88,4852.866115999999
16:49:37,GA104,FBVDD_MEM_V_GA102 ,7100,1200,2345.6180929999996,Voltages(V),Current(mA),54.88,4852.866115999999
